CodiceStazione;NomeStazione;NomeComune;Provincia;QuotaStazione;EPSG3003_X;EPSG3003_Y;EPSG4258_LON;EPSG4258_LAT;Bacino;SottoBacino;ZeroIdrometrico
0270;Adige a Albaredo;ALBAREDO D'ADIGE;VR;20;1677657;5020790;11.26629117;45.31794837;ADIGE: VENETO;ADIGE;23.59
0281;Adige a Badia Polesine;BADIA POLESINE;RO;12;1695177;4997634;11.48053687;45.10504834;ADIGE: VENETO;ADIGE;14.51
0284;Adige a Boara Pisani;BOARA PISANI;PD;6;1719069;4998460;11.78424405;45.1054812;ADIGE: VENETO;ADIGE;8.36
0293;Adige a Cavarzere;CAVARZERE;VE;3;1742344;5002959;12.08186245;45.1383265;ADIGE: VENETO;ADIGE;2.73
0301;Adige a Legnago;LEGNAGO;VR;17;1681750;5007104;11.31345664;45.19380723;ADIGE: VENETO;ADIGE;18.15
0332;Adige a Verona;VERONA;VR;52;1656561;5034087;11.00153857;45.44258112;ADIGE: VENETO;ADIGE: AGRO VERONESE TARTARO TIONE;53.30
0115;Adria - Bellombra;ADRIA;RO;-1;1737018;4989114;12.0076803;45.01567605;FISS.TAR.C.BIANCO;FISSERO - Tartaro - Canalbianco ;>>
0169;Agna;AGNA;PD;1;1732500;5004920;11.95775646;45.15926189;BACINO SCOLANTE IN LAGUNA DI VENEZIA;BACINO SCOLANTE IN LAGUNA DI VENEZIA;>>
0315;Agno a Ponte Brogliano;BROGLIANO;VI;155;1684875;5051260;11.3697627;45.59010662;BRENTA: VENETO;BRENTA - Agno - Guà;154.29
0278;Agno a Recoaro Terme;RECOARO TERME;VI;471;1672436;5063345;11.21470019;45.70199328;BRENTA: VENETO;BRENTA - Bacchiglione - Agno;469.08
0019;Agordo;AGORDO;BL;585;1733713;5129437;12.03319083;46.27804651;PIAVE: VENETO;PIAVE - Cordevole;>>
0273;Alpone a Monteforte;MONTEFORTE D'ALPONE;VR;33;1678850;5031500;11.28538172;45.41396549;ADIGE: VENETO;ADIGE - Alpone;31.24
0322;Alpone a S.Bonifacio;SAN BONIFACIO;VR;25;1676868;5029882;11.25948928;45.39992063;ADIGE: VENETO;ADIGE - Alpone;25.10
0003;Arabba;LIVINALLONGO DEL COL DI LANA;BL;1642;1720711;5153645;11.87607301;46.49998395;PIAVE: VENETO;PIAVE - Cordevole;>>
0123;Arcole;ARCOLE;VR;27;1679788;5027250;11.29582046;45.37550277;ADIGE: VENETO;ADIGE;>>
0218;Asiago - aeroporto;ASIAGO;VI;1016;1694869;5084184;11.51100804;45.88342502;BRENTA: VENETO;BRENTA - Bacchiglione - Astico;>>
0305;Astico a Lugo di Vicenza;LUGO DI VICENZA;VI;143;1696324;5068320;11.52328382;45.74036652;BRENTA: VENETO;BRENTA - Bacchiglione - Astico;142.03
0072;Astico a Pedescala;VALDASTICO;VI;307;1683840;5079537;11.36722564;45.84467135;BRENTA: VENETO;BRENTA: VALD'ASTICO;>>
0404;Astico a Pedescala;VALDASTICO;VI;307;1683842;5079539;11.36725287;45.84468696;BRENTA: VENETO;BRENTA: VALD'ASTICO;305.87
0053;Auronzo;AURONZO DI CADORE;BL;849;1762629;5161582;12.42593677;46.55625348;PIAVE: VENETO;PIAVE: ANSIEI;>>
0287;Bacchiglione a Bovolenta;BOVOLENTA;PD;1;1730563;5017439;11.9389414;45.27243536;BRENTA: VENETO;BRENTA - Bacchiglione;-0.29
0303;Bacchiglione a Longare;LONGARE;VI;23;1703480;5040151;11.60342307;45.48502277;BRENTA: VENETO;BRENTA - Bacchiglione;21.39
0308;Bacchiglione a Montegalda;MONTEGALDA;VI;22;1709021;5035629;11.67232277;45.44273178;BRENTA: VENETO;BRENTA - Bacchiglione;16.18
0334;Bacchiglione a Padova Voltabarozzo;PADOVA;PD;11;1727494;5029976;11.9056263;45.38613829;BRENTA: VENETO;BRENTA - Bacchiglione;>>
0276;Bacchiglione a Ponte Marchese;VICENZA;VI;36;1697769;5050718;11.53469144;45.58168143;BRENTA: VENETO;BRENTA - Bacchiglione - Timonchio;36.40
0333;Bacchiglione a Vicenza;VICENZA;VI;27;1699109;5047246;11.55043416;45.55008435;BRENTA: VENETO;BRENTA - Bacchiglione;26.80
0096;Bagnolo di Po - Pellizzare;BAGNOLO DI PO;RO;6;1699431;4984911;11.52950565;44.98944662;FISS.TAR.C.BIANCO;FISSERO - Tartaro - Canalbianco ;>>
0152;Balduina (Sant'Urbano);SANT'URBANO;PD;7;1703223;5001186;11.58415552;45.13472648;BRENTA: VENETO;BRENTA;>>
0145;Barbarano Vicentino;BARBARANO MOSSANO;VI;16;1701220;5030373;11.57053751;45.39775173;BRENTA: VENETO;BRENTA - Musone;>>
0118;Bardolino - Calmasino;BARDOLINO;VR;160;1637949;5042029;10.7659099;45.51796066;PO: VENETO;PO - Lago di Garda;>>
0232;Bassano del Grappa;BASSANO DEL GRAPPA;VI;127;1712249;5073813;11.73017735;45.78504906;BRENTA: VENETO;BRENTA;>>
0264;Belluno - aeroporto;BELLUNO;BL;377;1750560;5117458;12.24470834;46.16467858;PIAVE: VENETO;PIAVE;>>
0425;Bibione;SAN MICHELE AL TAGLIAMENTO;VE;0;1817788;5062316;13.07746832;45.64137219;TAGLIAMENTO: VENETO;Pianura tra Tagliamento e Piave;>>
0402;Biois a Cencenighe;CENCENIGHE AGORDINO;BL;770;1728263;5137500;11.96646096;46.35236803;PIAVE: VENETO;PIAVE - Cordevole;769.12
0597;Biois a Vallada;VALLADA AGORDINA;BL;823;1727410;5138325;11.955792;46.360074;;;>>
0408;Bisatto a Vo' Vecchio;VO;PD;13;1705129;5022457;11.61714036;45.32544257;BRENTA: VENETO;BRENTA - Bacchiglione - Fratta - Gorzone;13.96
0403;Boite a Cancia;BORCA DI CADORE;BL;883;1747573;5147032;12.22210444;46.43122995;PIAVE: VENETO;PIAVE - Boite;880.48
0214;Boite a Podestagno;CORTINA D'AMPEZZO;BL;1323;1738140;5164937;12.10868036;46.59551958;PIAVE: VENETO;PIAVE - Boite;>>
0251;Bosco Chiesanuova;BOSCO CHIESANUOVA;VR;1051;1658960;5053799;11.03859258;45.61935401;ADIGE: VENETO;ADIGE;>>
0577;Breda di Piave Via Bovon;BREDA DI PIAVE;TV;17;1762884;5069050;12.37795099;45.72484362;SILE;SILE;>>
0147;Breganze;BREGANZE;VI;196;1700519;5066235;11.57629665;45.72042777;BRENTA: VENETO;BRENTA: VALD'ASTICO;>>
0148;Brendola;BRENDOLA;VI;80;1693037;5038383;11.46922467;45.472092;BRENTA: VENETO;BRENTA - Musone;>>
0283;Brenta a Barziza;BASSANO DEL GRAPPA;VI;106;1712306;5072966;11.73054326;45.77741451;BRENTA: VENETO;BRENTA;105.31
0374;Brenta a Enego;ENEGO;VI;208;1710429;5092590;11.71500011;45.95441312;BRENTA: VENETO;BRENTA: VALSUGANA;206.77
0302;Brenta a Limena;CURTAROLO;PD;19;1721203;5044390;11.83184737;45.51774109;BRENTA: VENETO;BRENTA;14.26
0329;Brenta a Stra;STRA;VE;7;1734777;5032468;11.99972092;45.40613377;BRENTA: VENETO;BRENTA;>>
0190;Brustole' (Velo d'Astico);VELO D'ASTICO;VI;331;1682124;5074666;11.34330714;45.80132477;BRENTA: VENETO;BRENTA - Posina;>>
0127;Buttapietra;BUTTAPIETRA;VR;39;1657525;5023913;11.01059728;45.35084342;FISS.TAR.C.BIANCO;FISSERO - Tartaro - Canalbianco ;>>
